                Time          Cycles PC       Instr    Mnemonic
               94500              79 1c000080 0180006f jal              x0, 24             
              116500             101 1c000098 f1402573 csrrs            x10, x0, 0xf14      x10=00000000
              117500             102 1c00009c 01f57593 andi             x11, x10, 31        x11=00000000 x10:00000000
              140500             125 1c0000a0 00555513 srli             x10, x10, 0x5       x10=00000000 x10:00000000
              141500             126 1c0000a2 00058463 beq              x11, x0, 8          x11:00000000
              164500             149 1c0000aa 00050463 beq              x10, x0, 8          x10:00000000
              212500             197 1c0000b2 00002297 auipc            x5, 0x2000           x5=1c0020b2
              213500             198 1c0000b6 54628293 addi             x5, x5, 1350         x5=1c0025f8  x5:1c0020b2
              214500             199 1c0000ba 00002317 auipc            x6, 0x2000           x6=1c0020ba
              237500             222 1c0000be 5f230313 addi             x6, x6, 1522         x6=1c0026ac  x6:1c0020ba
              238500             223 1c0000c2 0002a023 sw               x0, 0(x5)            x5:1c0025f8  PA:1c0025f8
              256500             241 1c0000c6 00428293 addi             x5, x5, 4            x5=1c0025fc  x5:1c0025f8
              257500             242 1c0000c8 fe62ede3 bltu             x5, x6, -6           x5:1c0025fc  x6:1c0026ac
              296500             281 1c0000c2 0002a023 sw               x0, 0(x5)            x5:1c0025fc  PA:1c0025fc
              314500             299 1c0000c6 00428293 addi             x5, x5, 4            x5=1c002600  x5:1c0025fc
              315500             300 1c0000c8 fe62ede3 bltu             x5, x6, -6           x5:1c002600  x6:1c0026ac
              344500             329 1c0000c2 0002a023 sw               x0, 0(x5)            x5:1c002600  PA:1c002600
              362500             347 1c0000c6 00428293 addi             x5, x5, 4            x5=1c002604  x5:1c002600
              363500             348 1c0000c8 fe62ede3 bltu             x5, x6, -6           x5:1c002604  x6:1c0026ac
              392500             377 1c0000c2 0002a023 sw               x0, 0(x5)            x5:1c002604  PA:1c002604
              410500             395 1c0000c6 00428293 addi             x5, x5, 4            x5=1c002608  x5:1c002604
              411500             396 1c0000c8 fe62ede3 bltu             x5, x6, -6           x5:1c002608  x6:1c0026ac
              440500             425 1c0000c2 0002a023 sw               x0, 0(x5)            x5:1c002608  PA:1c002608
              458500             443 1c0000c6 00428293 addi             x5, x5, 4            x5=1c00260c  x5:1c002608
              459500             444 1c0000c8 fe62ede3 bltu             x5, x6, -6           x5:1c00260c  x6:1c0026ac
              488500             473 1c0000c2 0002a023 sw               x0, 0(x5)            x5:1c00260c  PA:1c00260c
              506500             491 1c0000c6 00428293 addi             x5, x5, 4            x5=1c002610  x5:1c00260c
              507500             492 1c0000c8 fe62ede3 bltu             x5, x6, -6           x5:1c002610  x6:1c0026ac
              536500             521 1c0000c2 0002a023 sw               x0, 0(x5)            x5:1c002610  PA:1c002610
              554500             539 1c0000c6 00428293 addi             x5, x5, 4            x5=1c002614  x5:1c002610
